Prefix,Firstname,Lastname,Prefix_1,Firstname_1,Lastname_1,Label
chris,chris,hane,chris,chris,smith,F
logjuser,logj,mailinglist,logjuser,logj,paduffyciscocom,F
scott,scott,schram,scott,scott,farquhar,F
adrian,adrian,blakey,adrian,adrian,pitulac,F
denis,denis,kostousov,denis,denis,haskin,F
logjml,robert,fischer,thu,robert,fischer,T
logjuser,log,apache,logjuser,log,posting,F
marc,marc,preddie,marc,marc,prudhommeaux,F
strutsuser,struts,list,strutsuser,struts,email,F
ceki,ceki,gulcu,ceki,ceki,ceki,F
plin,,,,,,F
richard,richard,han,richard,richard,shaw,F
logjuser,logj,womackadobecom,logjuser,logj,paduffyciscocom,F
plin,,,zhujn,,,F
rgszk,raul,segales,rgs,raul,segales,T
cgu,ceki,email,cgu,ceki,glc,F
chris,chris,jones,chris,chris,bailey,F
logjuser,list,logjusers,logjuser,logjusers,logjusers,F
logjuser,list,users,logjuser,list,list,F
logjuser,logjuserjakartaapacheorg,,logjuser,,,F
soniajohn,sonia,sonia,soniajohn,sonia,jose,F
yhliu,,,lvxiaoyi,,,F
logjuser,logj,email,logjuser,ml,email,F
mark,mark,derricutt,mark,mark,anderson,F
smj,,,rabbitwkx,,,F
chris,chris,smith,chris,chris,hane,F
takacsbence,takacs,bence,takacsbence,takcs,bence,T
viswap,viswa,p,viswap,viswa,viswa,T
jwinter,jeffrey,winter,jeffreywinter,jeffrey,winter,T
logjuser,logj,list,logjuser,log,list,T
logjuser,logjuser,email,logjuser,logjuser,logjuser,F
peter,peter,merikan,peter,peter,mutsaers,F
chris,chris,chris,chris,chris,hane,F
james,james,bellenger,james,james,carman,F
logjuser,logj,mailinglist,logjuser,logj,users,F
roger,roger,kjensrud,rkjensrud,roger,kjensrud,T
aleron,,aleron,aleron,aleron,aleron,F
chris,chris,beauchamp,chris,chris,dolan,F
kulkarniash,ashish,kulkarni,ashishkulkarni,ashish,kulkarni,T
logjuser,logj,oxspring,logjuser,logj,jmolierenerimnet,F
mike,mike,richmond,mike,mike,calmus,F
,,,betterjonah,,,F
chris,chris,beauchamp,chris,chris,carter,F
rkjensrud,roger,kjensrud,roger,roger,kjensrud,T
scott,scott,scott,scott,scott,ellsworth,F
chris,chris,beauchamp,chris,chris,chris,F
mqg,,,wincn,,,F
haim,haim,koschitzky,haim,haim,haim,F
jason,jason,bodnar,jason,jason,fletcher,F
jasonchou,jason,chou,jasonchou,jinshin,chou,F
scottfarquhar,scott,farquhar,scott,scott,farquhar,T
smj,,,betterjonah,,,F
yhliu,,,mqg,,,F
charles,charles,charles,charles,charles,tuckey,F
dave,david,thielen,dthielen,david,thielen,T
devnull,,,zhujn,,,F
emttang,,,,,,F
hoju,jacob,,hoju,jacob,kjome,F
konradbillewicz,konrad,billewicz,carolus,konrad,billewicz,T
logjuser,,,emttang,,,F
logjuser,,logjuser,logjuser,,,F
logjuser,list,mailing,logjuser,list,logjusers,F
logjuser,logj,jmolierenerimnet,logjuser,logj,user,F
logjuser,logj,paduffyciscocom,logjuser,logj,list,F
marcoesch,marc,privat,marcoesch,marc,oesch,F
mark,mark,mark,mark,mark,anderson,F
renaudlogj,renaud,waldura,renaud,renaud,waldura,T
steve,steve,mactaggart,smactaggart,steve,mactaggart,T
thomassvensen,thomas,svensen,tsv,thomas,svensen,T
hongcz,,,lvxiaoyi,,,F
iwelcomespam,patrick,patrick,iwelcomespam,patrick,lisa,F
mymailinglists,mailing,list,logjuser,mailing,list,F
auxboard,aux,board,auxboard,a,board,T
chris,chris,carter,chris,chris,chris,F
jeff,jeff,nichols,jeff,jeff,drew,F
moorejim,jim,moore,jimmoore,jim,moore,T
garydgregory,gary,gregory,ggregory,gary,gregory,T
jtsao,jamie,tsao,jamietsao,jamie,tsao,T
markjdesantis,desantis,,markjdesantis,desantis,is,T
michaelzhou,michael,zhou,zyh,michael,zhou,T
rcarazo,,carazo,rcarazo,ral,carazo,T
jayandrews,jay,andrews,logjuser,jay,andrews,T
oliver,oliver,epper,oliver,oliver,burn,F
remkop,remko,popma,remkopopma,remko,popma,T
chris,chris,wensel,chris,chris,bailey,F
dimalinux,,,wincn,,,F
logjuser,log,posting,logjuser,log,list,F
logjuser,logj,mailinglist,logjuser,logj,,F
mike,mike,papper,mike,mike,mike,F
msumanthak,m,kannantha,msumanthak,sumantha,kannantha,T
nareshiitd,naresh,agarwal,nareshka,naresh,agarwal,T
alessioronchi,alessioronchiinwindit,alessioronchiinwindit,alessioronchi,,alessioronchiinwindit,T
jeff,jeff,hodges,jeff,jeff,drew,F
jeff,jeff,shaw,jeff,jeff,hodges,F
steve,steve,pringle,steve,steve,steve,F
strutsuser,struts,struts,sqiu,struts,struts,F
achhabra,anshul,chhabra,anshul,anshul,chhabra,T
charles,charles,tuckey,charles,charles,villiers,F
chris,chris,dolan,chris,chris,derham,F
logjuser,logj,logj,logjuser,apache,logj,F
logjuser,logj,vececochranecom,logjuser,logj,,F
logjuser,logjusers,list,logjuser,mailing,list,F
rabbitwkx,,,zhujn,,,F
steve,steve,mactaggart,steve,steve,vanspall,F
tom,tom,purl,tom,tom,tom,F
wincn,,,lvxiaoyi,,,F
chris,chris,carter,chris,chris,bailey,F
emttang,,,mqg,,,F
jstauffe,james,,jstauffe,james,stauffer,T
logj,jim,moore,jimmoore,jim,moore,T
