Prefix,Firstname,Lastname,Prefix_1,Firstname_1,Lastname_1,P-Levenschtein Distance,F-Levenschtein Distance,L-Levenschtein Distance,P-Jaccard,F-Jaccard,L-Jaccard,P-jaroWinkler,F-jaroWinkler,L-jaroWinkler,sum,Label
apowell,alva,powell,gpowell,gareth,powell,0.857142857,0.166666667,1,0.428571429,0.1,0.5,0.9,0.47,1,5.422380952,F
ceki,,glc,mqg,,,0,,0,0,,0,0,0,0,,F
davidhodge,david,hodge,davidyou,david,you,0.6,1,0.2,0.333333333,0.5,0.125,0.87,1,0.51,5.138333333,F
davidkohn,david,kohn,dkramer,david,kramer,0.111111111,1,0.166666667,0.1875,0.5,0.1,0.1,1,0.52,3.685277778,F
davidnault,david,nault,dkoch,david,koch,0.1,1,0,0.066666667,0.5,0,0.49,1,0,3.156666667,F
davidyou,david,you,dave,david,smithuchida,0.375,1,0.090909091,0.25,0.5,0.071428571,0.8,1,0,4.087337662,F
dglick,david,glick,david,david,thielen,0.333333333,1,0.142857143,0.181818182,0.5,0.166666667,0.62,1,0,3.944675325,F
ebenze,eric,b,ericgravel,eric,gravel,0.2,1,0,0.125,0.5,0,0.56,1,0,3.385,F
ewhauser,eric,hauser,ericnewton,eric,newton,0.1,1,0,0.222222222,0.5,0.083333333,0.1,1,0.44,3.445555556,F
fanweiweijlu,david,fan,xerces,david,balaic,0.166666667,1,0.166666667,0.111111111,0.5,0.111111111,0.5,1,0.5,4.055555556,F
hongcz,,,arobertson,alan,,0.1,0,,0.125,0,,0.42,0,0,,F
ilgrosso,francesco,chicchiricc,frusso,francesco,russo,0.5,1,0,0.285714286,0.5,0.0625,0.64,1,0,3.988214286,F
jayturner,turner,jay,jtruesdale,truesdale,jay,0.1,0.222222222,1,0.315789474,0.266666667,0.5,0.66,0.66,1,4.724678363,F
jcollier,john,collier,ozemale,john,turnbull,0.125,1,0,0.2,0.5,0.2,0.6,1,0.51,4.135,F
jmcnally,john,mcnally,jwaugh,john,waugh,0.25,1,0.142857143,0.142857143,0.5,0.083333333,0.57,1,0.45,4.139047619,F
jwhite,joe,white,olamedia,eduard,white,0,0,1,0.142857143,0.111111111,0.5,0.36,0,1,3.113968254,F
logjlist,jason,teh,jasongui,jason,gui,0,1,0,0.3125,0.5,0,0.62,1,0,3.4325,F
logjuser,logjinterest,logjinterest,logjuser,logj,,1,0.333333333,0,0.5,0.25,0,1,0.87,0,3.953333333,F
logjuser,logjmailinglist,logjmailinglist,logjuser,logj,oxspring,1,0.266666667,0.266666667,0.5,0.210526316,0.217391304,1,0.85,0.59,4.901250953,F
markayad,mark,ayad,mark,mark,duske,0.5,1,0,0.333333333,0.5,0.111111111,0.9,1,0,4.344444444,F
markayad,mark,ayad,markb,mark,balster,0.5,1,0.142857143,0.307692308,0.5,0.090909091,0.86,1,0.46,4.861458541,F
mchiocca,michael,chiocca,mam,michael,mcangus,0.125,1,0,0.181818182,0.5,0.142857143,0.54,1,0,3.489675325,F
mdakin,mehmet,akin,mcelik,mehmet,programci,0.333333333,1,0.111111111,0.25,0.5,0.153846154,0.6,1,0,3.948290598,F
olpa,oleg,paraschenko,olegtim,oleg,oleg,0.285714286,1,0.090909091,0.181818182,0.5,0.133333333,0.68,1,0,3.871774892,F
thomasjohnson,thomas,johnson,thomasricaud,thomas,ricaud,0.461538462,1,0,0.24,0.5,0,0.79,1,0,3.991538462,F
zhujn,,,fmarchioni,,fmarchioniliberoit,0.2,,0,0.133333333,,0,0,0,0,,F
zhuqifei,zhu,qifei,jiezhu,zhu,zhu,0,1,0,0.357142857,0.5,0,0,1,0,2.857142857,F
ajaykumard,ajay,dhanawade,ajaykumarsrivastava,ajay,srivastava,0.473684211,1,0.2,0.310344828,0.5,0.157894737,0.87,1,0.54,5.051923775,F
andrewmcnair,andrew,mcnair,andrew,andrew,ash,0.5,1,0.166666667,0.333333333,0.5,0.111111111,0.9,1,0,4.511111111,F
cgu,,glc,devnull,,,0.142857143,,0,0.1,,0,0,0,0,,F
cuprakr,ryan,cuprak,ryanobjc,ryan,rawson,0,1,0,0.2,0.5,0.166666667,0.51,1,0.56,3.936666667,F
daniel,daniel,daniel,danielfritz,daniel,fritz,0.545454545,1,0.166666667,0.352941176,0.5,0.090909091,0.91,1,0.46,5.02597148,F
davidmuelas,david,snchez,dberenguer,david,vargas,0.181818182,1,0,0.142857143,0.5,0.083333333,0.47,1,0,3.378008658,F
dims,dmitry,kravchenko,dryabkov,dmitry,ryabkov,0.125,1,0.2,0.083333333,0.5,0.294117647,0.51,1,0,3.71245098,F
dserodio,daniel,serodio,jadestorm,daniel,henninger,0.111111111,1,0.111111111,0.294117647,0.5,0.1875,0.59,1,0.5,4.293839869,F
eric,eric,charles,esmith,eric,smith,0.333333333,1,0,0.2,0.5,0.166666667,0.65,1,0,3.85,F
hoju,jacob,,jstauffe,james,,0.125,0.4,,0.166666667,0.2,,0.58,0.68,0,,F
huangyu,huang,huang,charlinhuang,charlin,huang,0.25,0.142857143,1,0.263157895,0.25,0.5,0.63,0,1,4.036015038,F
inderjeetsingh,inder,singh,bharatsinghmnnit,bharat,singh,0.25,0,1,0.3,0.090909091,0.5,0.59,0.46,1,4.190909091,F
johnreed,john,reed,jvs,john,sichi,0.125,1,0,0.090909091,0.5,0,0.54,1,0,3.255909091,F
kailashchandra,kailash,chandra,kailashkn,kailash,kn,0.571428571,1,0.142857143,0.347826087,0.5,0.111111111,0.89,1,0,4.563222912,F
logjuser,apache,logj,logjuser,logjmailinglist,logjmailinglist,1,0.066666667,0.266666667,0.5,0.047619048,0.210526316,1,0.41,0.85,4.351478697,F
logjuser,list,logjusers,logjuser,maillist,logj,1,0.5,0.444444444,0.5,0.333333333,0.307692308,1,0,0.89,4.975470085,F
logjuser,logjlist,logjlist,logjuser,logjuser,logjuserjakartaapacheorg,1,0.5,0.208333333,0.5,0.3125,0.1875,1,0.85,0.77,5.328333333,F
mam,michael,mcangus,mike,michael,schronen,0.25,1,0.125,0.142857143,0.5,0.2,0.57,1,0.51,4.297857143,F
